Subject,Content
Teléfono Santander,"Banco Santander ofrece a sus clientes el teléfono de atención 55 5169 4300, este teléfono es ctambien conocido como SuperLínea"
SuperMóvil,SuperMóvil es la aplicación móvil de Santander que te permite realizar tus movimientos ¡desde donde estés!. Descárgala en tu teléfono celular.
SuperNet,SuperNet es la banca electrónica por internet de Banco Santander. Ingresa desde www.santander.com.mx y realiza tus operaciones bancarias
Teléfono Santander,"Te puedes comunicar a la SuperLínea marcando desde México 55 5169 4300 desde cualquier parte de la República, desde el extranjero +52 55 5169 4300 "
Actualizar datos personales,"Actualiza tus datos en Supernet, selecciona en el menú administración la opción actualizar datos personales."
Cargo no reconocido,"Si no reconoces un cargo en tu estado de cuenta o, 
Si hay un cargo duplicado en tu tarjeta o,
Si pagaste en algún comercio, el pago no fue aceptado pero sí aparece el cargo en tu cuenta o,
Si hiciste un pago o una tranferencia y el comercio te indica que no recibió el pago pero sí aparece el cargo en tu cuenta o,
Si te cancelaron un servicio o la compra de un producto pero sí aparece el cargo en tu cuenta,
Tienes un cargo no reconocido en  tu tarjeta de crédito o débito, para reportarlo, llama a SuperLínea al 55 5169 4300 desde cualquier parte de la República, o al +52 55 5169 4300 desde el extranjero y selecciona la opción 3"
tarjeta bloqueada,"Cuando el cajero automático no acepta tu tarjeta o te rechazan tu tarjeta al utilizarla aunque tengas saldo, entonces tu tarjeta está bloqueada por favor comunícate a la opción 3 de SuperLínea al 55 51694300 para CDMX y el interior de la República en donde con gusto un ejecutivo te apoyará."
CM,Si ya llamaste a SuperLínea y no te contestan o no lograste resolver tu problema escribe #community
token y supertoken,Por favor comunícate a la opción 4 de SuperLínea al 55 5169 4300 para CDMX y el interior de la República para que un ejecutivo pueda apoyarte con lo que requieras de tu Token y SuperToken.
Consulta de estado de cuenta,"Si deseas consultar tu estado de cuenta o, si no has recibido tu estado de cuenta por correo o, sí has recibido tu estado de cuenta por correo pero no recuerdas la contraseña para abrirlo, puedes descargar e impirmir tu estado de cuenta desde SuperMóvil o SuperNet  o arca a SuperLínea al 55 5169 4300 desde cualquier parte de la República, o al+52 55 5169 4300 desde el extranjero opción 1."
Información en el estado de cuenta,"En tu estado de cuenta puedes consultar el nombre del titular, dirección del titular, los movimientos del mes de tu cuenta, saldo y tu clabe interbancaria."
Robo o extravío de tarjeta,"Por favor comunícate a la opción 0 de SuperLínea al 55 5169 4300 para CDMX e interior de la República en donde uno de nuestros ejecutivos te apoyará con el reporte, bloqueo y trámite de reposición de tu tarjeta, cuando has perdido o te han robado tu tarjeta."
Cancelar seguro,"Por favor comunícate a la opción 5 de SuperLínea al 55 5169 4300 para CDMX y el interior de la República, donde un ejecutivo te asistirá para cancelar tu seguro."
No lee mi tarjeta,"Si estás teniendo problemas de lectura con tu tarjeta, te recomiendo solicitar una  reposición por desgaste llamando a la opción 3 del 55 5249 5767"
Cajero no devolvió tarjeta,"Si el cajero no te devolvió tu tarjeta, te pedimos comunicarte a la opción 2 del 55 5249 5767"
Cajero no dio dinero,Si el cajero no te dio el dinero que solicitaste toma nota del número de cajero y llama a la opción 1 del 55 5249 5767 para reportar tu efectivo no entregado.
Seguimiento a aclaraciones,"Para realizar el seguimiento a tus aclaraciones levantadas en SuperMóvil:
En el menú de SuperMóvil selecciona la opción Consultas
Selecciona la opción Estatus de Aclaraciones"
Consultar saldo,"Consulta en SuperNet el saldo de tu cuenta o los servicios que tienes disponibles siguiendo los siguientes pasos
Selecciona la opción 1 - Saldos y servicios 
Autentícate
Escucha el saldo de tu tarjeta"
Retiro sin tarjeta,"Genere un código en SuperMóvil para hacer un retiro sin tarjeta siguiendo estos pasos:
Ingrese a SuperMóvil y en el menú seleccione la opción retiro sin tarjeta y luego generar referencia de retiro .
Elija el monto que desea retirar, complete el conceptoy genere una contraseña de 4 dígitos que utilizará para realizar el retiro
De clic en continuar.
Confirme la operación ingresando su clave supertoken
Recuerde que la contrseña y referencia de retirlo le serán solicitadas en el cajero automático."
Cajero sin servicio,Por favor indícanos si estás reportando un cajero o un multicajero y proporciónanos el número de cajero o multicajero
Llamadas de cobranza,"Si estás recibiendo llamadas de cobranza y no eres tú la persona a la que buscan, lamentamos los inconvenientes ocasionados. Para poderle dar el seguimiento adecuado necesitamos nos proporciones estos tres datos por favor: TU NOMBRE, NÚMERO AL QUE TE ESTÁN LLAMANDO (CON LADA) y NOMBRE DE LA PERSONA A LA QUE ESTÁN BUSCANDO."
Llamadas de venta,"Si estás recibiendo llamadas de venta y no deseas recibirlas, lamentamos los inconvenientes ocasionados. Para evitar estas llamadas te pedimos nos proporciones tu NOMBRE y el NÚMERO al que te están llamando"
Llamadas no deseadas,"Si estás recibiendo llamadas que no deseas recibir, para poder ayudarte indicanos de que tipo son las llamadas que recibes 👇: 
- Llamadas de venta
- LLamada de cobranza"
Identificaciones Oficiales,Las identificaciones oficiales en Banco Santander son INE o IFE y pasaporte vigente
Banca Digital," Para temas relacionados con tu banca digital, te pedimos que te comuniques a opción 4 de SuperLínea al 55 5169-4300 para CDMX e interior de la República en donde con gusto uno de nuestros ejecutivos te apoyará."
Consultar clabe,"Podrás obtener el número CLABE de tu cuenta de cualquiera de las siguientes formas 👇:
  - En la parte superior del 📄 estado de cuenta de cheques y/o débito, 
  - Acudiendo a 🏦 sucursal,
  - Comunicándote a SuperLínea marcando al 
☎🇲🇽 55 5169 4300 desde cualquier parte de la República, 
☎🌎 +52 55 5169 4300 desde un teléfono celular en el extranjero
  - O bien, lo puedes consultar en 📱 SuperMóvil en el menú Información de la Cuenta."
swift,"El 🆔🌎 código SWIFT,BIC, IBAN de Banco Santander es: BMSXMXMMXXX.
Recuerda que este dato es indispensable para recibir transferencias internacionales y es el mismo para cualquier sucursal de Banco Santander en México.

⚠️Es importante señalar que para algunos Bancos es necesario eliminar las últimas 3 ""X"" (BMSXMXMM)."
Generar SuperToken,"Para generar tu supertoken, puedes hacerlo a través de 📱SúperMóvil donde el proceso te guiará paso a paso o si lo prefieres puedes consultar un sencillo tutorial en: 
 https://www.santander.com.mx/tutoriales/sm/"
Biométricos,"Para registrar tus datos biométricos 📟, es necesario que te presentes en la sucursal 🏦 de tu preferencia. Los requisitos son: INE o IFE vigente en caso de ser nacionales 🇲🇽, Pasaporte y forma migratoria en caso de ser extranjeros 🌎, teléfono celular 📱, sin lesiones temporales en rostro o manos 🖐."
Reposición de tarjeta,Puedes solicitar la reposición de tu tarjeta seleccionando la opción 3️⃣ al llamar a SuperLínea al  ☎🇲🇽 55 5169 4300 desde cualquier parte de la República o al ☎🌎 +52 55 5169 4300 el extranjero
Portabilidad,"Al tener tu portabilidad de nómina con nosotros cuentas con los siguientes beneficios:
+ SIN COMISIONES por apertura, manejo de cuenta o saldo mínimo 
+ Seguro de vida por Muerte Accidental 
+ Servicios funerarios SIN COSTO.   + Operaciones ilimitadas y SIN COSTO en SuperNet y SuperMóvil 
+ Retiro de efectivo en más de 15,500 sitios en todo el país.  
+Acceso a tasas de inversión preferenciales así como, promoción en créditos
¿Ya eres cliente Santander?"
Abrir cuenta,"Para abrir una cuenta con nosotros deberás presentar en  sucursal🏦: 
  - Comprobante de domicilio
  - Identificación oficial y 
  - 2 referencias personales
  - De manera adicional deberás hacer un depósito inicial cuyo monto depende del tipo de cuenta que te interese. Te invitamos a conocerlas en: https://www.santander.com.mx/> Personas > Cuentas. 
  O puedes abrir una cuenta digital en  línea 🌐."
